User id,inst,Time (secs),Number of moves,difficulty,Date,npo,nsols,avg_naff,nfrozen,minr,avgr,minr_extr,minr_extl,npstn,nlo,bs,ac
efab0e0e-501b-4821-98ae-fba2e149cdd7,3_2,68,3,1,Mon Apr 16 20:37:00 GMT+02:00 2018,2,2,3.0,1,1,1.0,0,0,2.0,2,6,-0.260337533649
587daa2c-a076-49dd-8ec5-17367d77b32c,5_5,35,8,3,Thu Apr 19 08:05:16 CAT 2018,1,1,27.0,5,8,8.0,1,2,3.6,13,53,-0.0981095104289
587daa2c-a076-49dd-8ec5-17367d77b32c,6_1,36,7,3,Thu Apr 19 08:06:01 CAT 2018,3,6,37.333333333333336,3,5,6.666666666666667,0,0,4.5,13,484,0.227373918777
587daa2c-a076-49dd-8ec5-17367d77b32c,6_2,34,6,3,Thu Apr 19 08:06:42 CAT 2018,4,14,6.0,0,3,4.0,0,0,4.5,18,663,0.25106030127
587daa2c-a076-49dd-8ec5-17367d77b32c,6_3,88,17,4,Thu Apr 19 08:12:17 CAT 2018,1,1,76.0,6,16,16.0,2,3,4.333333333333333,28,124,0.124046342771
587daa2c-a076-49dd-8ec5-17367d77b32c,6_4,128,21,4,Thu Apr 19 08:14:35 CAT 2018,7,16,11.285714285714286,0,6,6.714285714285714,0,0,4.5,19,690,0.220412676177
587daa2c-a076-49dd-8ec5-17367d77b32c,6_5,293,24,4,Thu Apr 19 08:19:38 CAT 2018,1,5,33.0,2,5,5.0,1,0,4.5,25,462,0.258059121139
587daa2c-a076-49dd-8ec5-17367d77b32c,6_6,71,9,3,Thu Apr 19 08:21:02 CAT 2018,2,4,51.5,1,6,6.0,0,2,4.5,18,426,0.297717705572
587daa2c-a076-49dd-8ec5-17367d77b32c,7_1,37,8,2,Thu Apr 19 08:21:47 CAT 2018,6,25,34.166666666666664,1,4,6.833333333333333,0,0,5.285714285714286,42,3094,0.372049717285
587daa2c-a076-49dd-8ec5-17367d77b32c,7_2,142,15,3,Thu Apr 19 08:24:24 CAT 2018,6,42,30.666666666666668,0,4,5.333333333333333,0,0,5.428571428571429,68,4104,0.393232843542
587daa2c-a076-49dd-8ec5-17367d77b32c,7_3,23,7,2,Thu Apr 19 08:25:44 CAT 2018,2,4,200.5,1,11,16.5,2,0,5.571428571428571,60,790,0.345720301372
587daa2c-a076-49dd-8ec5-17367d77b32c,7_4,154,17,4,Thu Apr 19 08:28:30 CAT 2018,1,8,7.0,0,0,0.0,0,0,5.285714285714286,53,1369,0.333806903795
587daa2c-a076-49dd-8ec5-17367d77b32c,7_5,70,9,3,Thu Apr 19 08:29:53 CAT 2018,6,50,11.333333333333334,0,4,5.666666666666667,0,0,5.571428571428571,60,4357,0.390630438468
