User id,Instance id,Time (secs),Number of moves,Difficulty,Date,Number of wpos,Number of solution,Frozen Variables,Attraction Basin Size,Number of iteration
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4-2,47,6,4,Thu Apr 19 09:32:20 GMT+02:00 2018,1,1,4,7,25
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4-3,135,16,3,Thu Apr 19 09:35:23 GMT+02:00 2018,1,1,4,7,17
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4-4,19,4,2,Thu Apr 19 17:48:13 GMT+02:00 2018,1,1,4,7,17
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5-1,55,9,3,Thu Apr 19 17:51:03 GMT+02:00 2018,1,2,3,54,10
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5-2,49,5,3,Thu Apr 19 17:53:44 GMT+02:00 2018,6,8,0,172,9.66666666
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5-3,19,5,3,Thu Apr 19 18:09:31 GMT+02:00 2018,4,4,1,113,11
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5-4,38,5,4,Thu Apr 19 18:14:22 GMT+02:00 2018,1,1,5,39,41
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5-5,63,5,3,Thu Apr 19 18:15:39 GMT+02:00 2018,1,2,3,57,18
8f95ee4d-c146-4b91-aabd-f93b535c06d3,6-1,81,11,4,Thu Apr 19 20:44:13 GMT+02:00 2018,3,5,2,699,47
dd792761-31ef-41d6-81e6-47ea34658cd0,5-3,61,35,2,Sat Apr 21 22:45:51 GMT+02:00 2018,4,4,1,113,11
9f35695d-bc4d-4d07-91ab-869f35e80e14,4-4,29,10,1,Sun Apr 22 22:17:26 GMT+02:00 2018,1,1,4,7,17
9f463c56-b11b-4f44-8a7d-68fce45697c0,3-1,2,3,1,Mon Apr 23 15:26:04 GMT+02:00 2018,1,1,3,2,3
9f463c56-b11b-4f44-8a7d-68fce45697c0,3-2,20,3,1,Mon Apr 23 15:26:29 GMT+02:00 2018,2,2,1,2,3
ab55db18-a0aa-4683-9279-2054559ab20f,3-1,11,3,1,Mon Apr 23 23:05:54 GMT+02:00 2018,1,1,3,2,3
ab55db18-a0aa-4683-9279-2054559ab20f,3-2,10,4,1,Mon Apr 23 23:06:11 GMT+02:00 2018,2,2,1,2,3
ab55db18-a0aa-4683-9279-2054559ab20f,4-1,57,7,2,Mon Apr 23 23:07:23 GMT+02:00 2018,1,1,4,8,24
ab55db18-a0aa-4683-9279-2054559ab20f,4-2,47,7,2,Mon Apr 23 23:08:16 GMT+02:00 2018,1,1,4,7,25
ab55db18-a0aa-4683-9279-2054559ab20f,4-3,76,12,3,Mon Apr 23 23:09:38 GMT+02:00 2018,1,1,4,7,17
ab55db18-a0aa-4683-9279-2054559ab20f,4-4,32,7,2,Mon Apr 23 23:10:16 GMT+02:00 2018,1,1,4,7,17
dd792761-31ef-41d6-81e6-47ea34658cd0,3-1,17,7,1,Fri May 04 17:20:06 GMT+02:00 2018,1,1,3,2,3
